SPX (S&P 500 INDEX),2768.78,-40.43
Oct 18 2018 @ 20:06 ET
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int
2018 Oct 19 800.00 (SPX1819J800),2130.03,0.0,1965.90,1978.00,0,5,2018 Oct 19 800.00 (SPX1819V800),0.0,0.0, ,0.05,0,0
2018 Oct 19 800.00 (SPXW1819J800),0.0,0.0,1965.80,1979.70,0,0,2018 Oct 19 800.00 (SPXW1819V800),0.0,0.0, ,0.05,0,0
2018 Oct 19 850.00 (SPX1819J850),2052.70,0.0,1915.90,1928.00,0,40,2018 Oct 19 850.00 (SPX1819V850),0.0,0.0, ,0.05,0,0
2018 Oct 19 850.00 (SPXW1819J850),0.0,0.0,1915.90,1929.70,0,0,2018 Oct 19 850.00 (SPXW1819V850),0.0,0.0, ,0.05,0,0
2018 Oct 19 900.00 (SPX1819J900),0.0,0.0,1865.90,1878.00,0,0,2018 Oct 19 900.00 (SPX1819V900),0.0,0.0, ,0.05,0,0
2018 Oct 19 900.00 (SPXW1819J900),0.0,0.0,1865.90,1878.90,0,0,2018 Oct 19 900.00 (SPXW1819V900),0.0,0.0, ,0.05,0,0
2018 Oct 19 950.00 (SPX1819J950),0.0,0.0,1815.90,1828.00,0,0,2018 Oct 19 950.00 (SPX1819V950),0.0,0.0, ,0.05,0,0
2018 Oct 19 950.00 (SPXW1819J950),0.0,0.0,1815.90,1829.70,0,0,2018 Oct 19 950.00 (SPXW1819V950),0.0,0.0, ,0.05,0,0
2018 Oct 19 1000.00 (SPX1819J1000),1749.00,0.0,1765.90,1776.90,0,27765,2018 Oct 19 1000.00 (SPX1819V1000),0.05,0.0, ,0.05,0,28068
2018 Oct 19 1000.00 (SPXW1819J1000),0.0,0.0,1765.90,1779.90,0,0,2018 Oct 19 1000.00 (SPXW1819V1000),0.05,0.0, ,0.05,0,177
2018 Oct 19 1050.00 (SPX1819J1050),0.0,0.0,1716.00,1728.00,0,0,2018 Oct 19 1050.00 (SPX1819V1050),0.0,0.0, ,0.05,0,0
2018 Oct 19 1050.00 (SPXW1819J1050),0.0,0.0,1715.90,1729.90,0,0,2018 Oct 19 1050.00 (SPXW1819V1050),0.0,0.0, ,0.05,0,0
2018 Oct 19 1100.00 (SPX1819J1100),0.0,0.0,1666.00,1678.00,0,0,2018 Oct 19 1100.00 (SPX1819V1100),0.05,0.0, ,0.05,0,144
2018 Oct 19 1100.00 (SPXW1819J1100),0.0,0.0,1665.90,1679.90,0,0,2018 Oct 19 1100.00 (SPXW1819V1100),0.05,0.0, ,0.05,0,7
2018 Oct 19 1150.00 (SPX1819J1150),1753.00,0.0,1616.00,1628.00,0,40,2018 Oct 19 1150.00 (SPX1819V1150),0.05,0.0, ,0.05,0,6
2018 Oct 19 1150.00 (SPXW1819J1150),0.0,0.0,1615.90,1630.20,0,0,2018 Oct 19 1150.00 (SPXW1819V1150),0.0,0.0, ,0.05,0,0
2018 Oct 19 1200.00 (SPX1819J1200),0.0,0.0,1566.00,1577.90,0,0,2018 Oct 19 1200.00 (SPX1819V1200),0.05,0.0, ,0.05,0,11910
2018 Oct 19 1200.00 (SPXW1819J1200),0.0,0.0,1565.90,1579.30,0,0,2018 Oct 19 1200.00 (SPXW1819V1200),0.0,0.0, ,0.05,0,0
2018 Oct 19 1250.00 (SPX1819J1250),0.0,0.0,1516.00,1527.90,0,0,2018 Oct 19 1250.00 (SPX1819V1250),0.07,0.0, ,0.05,0,59
2018 Oct 19 1250.00 (SPXW1819J1250),0.0,0.0,1515.90,1530.20,0,0,2018 Oct 19 1250.00 (SPXW1819V1250),0.05,0.0, ,0.05,0,102
2018 Oct 19 1300.00 (SPX1819J1300),1566.10,0.0,1466.00,1477.90,0,47,2018 Oct 19 1300.00 (SPX1819V1300),0.05,0.0, ,0.05,0,10362
2018 Oct 19 1300.00 (SPXW1819J1300),0.0,0.0,1466.20,1479.70,0,0,2018 Oct 19 1300.00 (SPXW1819V1300),0.05,0.0, ,0.05,0,167
2018 Oct 19 1350.00 (SPX1819J1350),0.0,0.0,1416.00,1428.00,0,0,2018 Oct 19 1350.00 (SPX1819V1350),0.09,0.0, ,0.05,0,125
2018 Oct 19 1350.00 (SPXW1819J1350),0.0,0.0,1415.90,1429.80,0,0,2018 Oct 19 1350.00 (SPXW1819V1350),0.10,0.0, ,0.05,0,120
2018 Oct 19 1375.00 (SPX1819J1375),0.0,0.0,1391.00,1403.00,0,0,2018 Oct 19 1375.00 (SPX1819V1375),0.05,0.0, ,0.05,0,228
2018 Oct 19 1375.00 (SPXW1819J1375),0.0,0.0,1390.90,1404.00,0,0,2018 Oct 19 1375.00 (SPXW1819V1375),0.10,0.0, ,0.05,0,111
2018 Oct 19 1400.00 (SPX1819J1400),0.0,0.0,1366.00,1378.00,0,0,2018 Oct 19 1400.00 (SPX1819V1400),0.05,0.0, ,0.05,0,22794
2018 Oct 19 1400.00 (SPXW1819J1400),0.0,0.0,1365.90,1378.80,0,0,2018 Oct 19 1400.00 (SPXW1819V1400),0.30,0.0, ,0.05,0,10
